"22 chemin des carabiniers 31620 CASTELNAU d'ESTRETEFONDS",,,,,2
"Rue Ernest Renan 31220 CAZERES",,,,,2
"4 chemin de l'Ormeau 31770 COLOMIERS",,,,,2
"avenue Jean Berenguier 81800 COUFOULEUX",,,,,2
"av Leo Lagrange 31270 CUGNAUX",,,,,2
"12 allée Suzanne Lacore 31270 CUGNAUX",,,,,2
"impasse des Ecoles 31270 CUGNAUX",,,,,2
"3 av Georges Pompidou 31270 CUGNAUX",,,,,2
"route de Portet 31270 CUGNAUX",,,,,2
"34, rue de la Vimona 31270 CUGNAUX",,,,,2
"Place du Bicentenaire 31600 EAUNES",,,,,2
"chemin des Ecoles 31750 ESCALQUENS",,,,,2
"place Francois Mitterrand 31750 ESCALQUENS",,,,,2
"1 rue de l'eglise 31150 FENOUILLET",,,,,2
"102 route de Fronton 31140 FONBEAUZARD",,,,,2
"1 chemin des Mailheaux 31270 FROUZINS",,,,,2
"89 boulevard de la Mediterranee 31270 FROUZINS",,,,,2
"19 chemin des Mailheaux 31270 FROUZINS",,,,,2
"171 rue de la Voie Romaine 31150 GAGNAC",,,,,2
"Rue de la Commanderie 31380 GARIDECH",,,,,2
"29, avenue de Luchon 31210 GOURDAN-POLIGNAN",,,,,2
"15 place Bellegarde 31380 GRAGNAGUE",,,,,2
"3 rue Verdaussou 81300 GRAULHET",,,,,2
"Lieu-dit Le Moulin 82170 GRISOLLES",,,,,2
"3 r Jean Moulin 32600 L ISLE-JOURDAIN",,,,,2
"18 promenade de l'Esplanade 31180 LAPEYROUSE-FOSSAT",,,,,2
"chemin des ecoles 31860 LABARTHE-SUR-LEZE",,,,,3
"Cammas 31670 LABEGE",,,,,3
"200 rue Buissonniere 31670 LABEGE",,,,,3
"avenue des Pyrenees 31120 LACROIX-FALGARDE",,,,,3
"2, impasse de la Saudrune 31140 LAUNAGUET",,,,,3
"place Cazaleres 31410 LE FAUGA",,,,,3
"avenue Bouscarre 31490 LEGUEVIN",,,,,3
"rue Jules Ferry 31490 LEGUEVIN",,,,,3
"13 rue des lacs Fenouillet BP 25112 31150 LESPINASSE",,,,,3
"place de l' Eglise 31600 LHERM",,,,,3
"rue des Justices 32120 MAUVEZIN",,,,,3
"rue des Ecoles 31330 MERVILLE",,,,,3
"Moulin a Vent 31700 MONDONVILLE",,,,,3
"17 Grand Rue 31450 MONTGISCARD",,,,,3
"route de Baziege 31450 MONTLAUR",,,,,3
"3 chemin de Mondouzil 31850 MONTRABE",,,,,3
"181, chemin de Brioudes 31600 MURET",,,,,3
"56 avenue Henri Peyrusse 31600 MURET",,,,,3
"rue du Commandant Montalegre 31600 MURET",,,,,3
"9, rue Joseph Cugnot 31600 MURET",,,,,3
"15, rue de Gascogne 31600 MURET",,,,,3
"1, rue de l' Eglise 31600 MURET",,,,,3
"10, rue de Cazaux 31600 MURET",,,,,3
"15, rue du Marechal Lyautey 31600 MURET",,,,,3
"5, rue Jean Lestrade 31600 MURET",,,,,3
"36, rue Notre Dame 31600 MURET",,,,,3
"13-15, square Saint-Exupery 31600 MURET",,,,,3
"7 bis, place Layrisson 31600 MURET",,,,,3
"181, av. J. Douzans 31601 MURET",,,,,3
"20 avenue Bernard IV 31605 MURET",,,,,3
"8, place de la Mairie 31140 PECHBONNIEU",,,,,3
"5 chemin de Castillon 31140 PECHBONNIEU",,,,,3
"La Roquette 81440 PEYREGOUX",,,,,3
"ancien chemin Brax 31820 PIBRAC",,,,,3
"CD 65 Route de Toulouse 31820 PIBRAC",,,,,3
"99 route d' Andorre 31120 PINSAGUEL",,,,,3
"14 rue Ruisseau 31120 PINSAGUEL",,,,,3
"13, rue Fer a cheval 31830 PLAISANCE du TOUCH",,,,,3
"2 rue Doct Armaing 31830 PLAISANCE du TOUCH",,,,,3
"2 avenue Alexandre Monoury 31250 REVEL",,,,,3
"37 Boulevard des ecoles 31370 RIEUMES",,,,,3
"6 rue Clement Ader 31120 ROQUETTES",,,,,3
"22 allée des chenes 31600 SAINT CLAR DE RIVIERE",,,,,3
"Zone commerciale Porte du Gers 31470 FONSORBES",,,,,3
"77 av Languedoc 31470 SAINT LYS",,,,,3
"11 lotissement les marronniers 31470 SAINT LYS",,,,,3
"avenue de Revel 31650 SAINT ORENS DE GAMEVILLE",,,,,3
"Chemin Gleyzes 31790 SAINT SAUVEUR",,,,,3
"56 rue des lilas 81370 SAINT SULPICE LA POINTE",,,,,3
"avenue Rhin et Danube 81370 SAINT SULPICE LA POINTE",,,,,3
"4 avenue Victor Molinier 31570 SAINTE FOY D'AIGREFEUILLE",,,,,3
"6, avenue Tolosane 31410 SAINT HILAIRE",,,,,3
"Rue amethyste 31650 SAINT ORENS DE GAMEVILLE",,,,,3
"31650 SAINT ORENS DE GAMEVILLE",,,,,3
"22 rue des Ecoles 31600 SAUBENS",,,,,3
"1 place Roaldes du Bourg 31840 SEILH",,,,,3
"5 place de la Libération 31600 SEYSSES",,,,,3
"9 avenue Pierre Semard 31600 SEYSSES",,,,,3
"Chemin de Belveze 31240 Saint-Jean",,,,,3
"Boulevard de Ratalens 31240 Saint-Jean",,,,,3
"Le Village 31570 TARABEL",,,,,3
